mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.72,0.881,0.203,0.037,0.287,0.113,0.64,4.033,0.0
8.495,0.878,0.235,0.039,0.28,0.117,0.671,3.783,0.0
8.0,0.885,0.176,0.035,0.26,0.111,0.582,3.681,0.0
8.554,0.881,0.197,0.039,0.279,0.109,0.624,3.774,0.0
9.003,0.885,0.21,0.035,0.271,0.114,0.63,3.909,0.0
8.791,0.889,0.195,0.039,0.257,0.11,0.601,3.889,0.0
8.494,0.889,0.207,0.04,0.258,0.111,0.615,3.867,0.0
8.46,0.89,0.213,0.04,0.255,0.113,0.621,3.711,0.0
7.869,0.888,0.167,0.039,0.272,0.109,0.587,3.771,0.0
8.344,0.882,0.186,0.034,0.271,0.111,0.602,3.779,0.0
8.824,0.885,0.254,0.042,0.278,0.121,0.695,3.935,0.0
8.763,0.896,0.216,0.036,0.253,0.111,0.615,3.715,0.0
8.334,0.887,0.24,0.043,0.255,0.109,0.647,3.855,0.0
7.752,0.884,0.243,0.043,0.263,0.112,0.661,4.151,0.0
7.794,0.896,0.224,0.04,0.253,0.11,0.628,3.793,0.0
8.002,0.899,0.224,0.035,0.253,0.107,0.619,3.859,0.0
8.541,0.892,0.187,0.042,0.26,0.109,0.599,3.733,0.0
8.496,0.896,0.143,0.035,0.244,0.111,0.534,3.782,0.0
8.179,0.881,0.236,0.039,0.277,0.112,0.663,3.834,0.0
8.172,0.886,0.157,0.035,0.262,0.11,0.564,3.864,0.0
8.6,0.888,0.173,0.036,0.265,0.112,0.585,3.801,0.0
8.3,0.901,0.17,0.035,0.233,0.109,0.548,3.706,0.0
8.364,0.9,0.196,0.037,0.25,0.103,0.586,3.781,0.0
